Subject,Start Date,Start Time
Protoko³y sieci teleinformatycznych L22 47; 119,19/05/2020,8:00 AM
Protoko³y sieci teleinformatycznych L22 47; 119,19/05/2020,9:50 AM
Analiza matematyczna æ120 45,19/05/2020,11:40 AM
Analiza matematyczna æ120 45,19/05/2020,1:30 PM
Teoria informacji i kodowania waE S,19/05/2020,7:25 PM
Kompatybilnoœæ elektromagnetyczna waE S,21/05/2020,8:00 AM
Teoria informacji i kodowania æ103 61,21/05/2020,11:40 AM
Kierowanie zespo³ami ludzkimi æ117 47,22/05/2020,11:40 AM
Metody optymalizacji æ103 61,22/05/2020,1:30 PM
Analiza matematyczna waE S,25/05/2020,9:50 AM
Analiza matematyczna æ120 45,26/05/2020,11:40 AM
Analiza matematyczna æ120 45,26/05/2020,1:30 PM
Teoria informacji i kodowania waE S,26/05/2020,7:25 PM
Systemy i us³ugi multimedialne L12 47; 35,27/05/2020,11:40 AM
Systemy i us³ugi multimedialne L12 47; 35,27/05/2020,1:30 PM
Programowalne uk³ady cyfrowe L17 45; 19,29/05/2020,8:00 AM
Programowalne uk³ady cyfrowe L17 45; 19,29/05/2020,9:50 AM
Zagadnienia prawne w elektronice i telekomunikacji S117 47,29/05/2020,11:40 AM
Teoria informacji i kodowania æ27 61,29/05/2020,1:30 PM
Analiza matematyczna waE S,01/06/2020,9:50 AM
Metody optymalizacji L116 61,01/06/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna L118 75,01/06/2020,1:30 PM
Kompatybilnoœæ elektromagnetyczna L118 75,01/06/2020,3:45 PM
Metody sztucznej inteligencji L18 45,02/06/2020,8:00 AM
Metody sztucznej inteligencji L18 45,02/06/2020,9:50 AM
Analiza matematyczna æ120 45,02/06/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna æ33 75,02/06/2020,1:30 PM
Teoria informacji i kodowania æ27 61,03/06/2020,9:50 AM
Kierowanie zespo³ami ludzkimi æ117 47,05/06/2020,11:40 AM
Teoria informacji i kodowania æ27 61,05/06/2020,1:30 PM
Systemy i us³ugi multimedialne S117 47,08/06/2020,8:00 AM
Analiza matematyczna waE S,08/06/2020,9:50 AM
Programowalne uk³ady cyfrowe L17 45; 19,08/06/2020,11:40 AM
Programowalne uk³ady cyfrowe L17 45; 19,08/06/2020,1:30 PM
Analiza matematyczna æ120 45,09/06/2020,11:40 AM
Metody optymalizacji L116 61,09/06/2020,1:30 PM
Teoria informacji i kodowania æ27 61,10/06/2020,8:00 AM
Kompatybilnoœæ elektromagnetyczna waE S,10/06/2020,5:35 PM
Analiza matematyczna waE S,15/06/2020,9:50 AM
Kompatybilnoœæ elektromagnetyczna L118 75,15/06/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna L118 75,15/06/2020,1:30 PM
Metody sztucznej inteligencji L18 45,16/06/2020,8:00 AM
Metody sztucznej inteligencji L18 45,16/06/2020,9:50 AM
Analiza matematyczna æ120 45,16/06/2020,11:40 AM
Kompatybilnoœæ elektromagnetyczna S33 75,16/06/2020,1:30 PM
Systemy i us³ugi multimedialne L12 47; 35,17/06/2020,11:40 AM
Systemy i us³ugi multimedialne L12 47; 35,17/06/2020,1:30 PM
Programowalne uk³ady cyfrowe L17 45; 19,19/06/2020,8:00 AM
Programowalne uk³ady cyfrowe L17 45; 19,19/06/2020,9:50 AM
Zagadnienia prawne w elektronice i telekomunikacji S117 47,19/06/2020,11:40 AM
Analiza matematyczna waE S,22/06/2020,9:50 AM
Programowalne uk³ady cyfrowe S117 47,22/06/2020,11:40 AM
